GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
1004533,2327,Brookings Regional Landfill,SD,Brookings Landfill,4101 30th Street,Brookings,Brookings,57006,44.343,-96.735,No,Public,"City of Brookings, SD",,1993,2042,Open,215,30,55,20,"1,631,173","997,662",2018,"51,843",2018,No,Not used,No,,No,,,,No,,,,
1005056,2330,Brown County Landfill,SD,,13225 379th Avenue,Aberdeen,Brown,57401,45.471056,-98.621521,No,Public,"Brown County, SD","Brown County, SD",1975,2070,Open,,,,,"6,485,742","1,793,492",2018,"54,835",2018,No,Not used,No,,No,,,,No,,,,
,2326,Pierre Landfill,SD,,Highway 34 (East of Pierre),Pierre,Hughes,57501,44.332,-100.0715,No,Public,"City of Pierre, SD","City of Pierre, SD",2003,2282,Open,120,17,100,35,"5,673,776","133,933",2008,"23,000",2008,Unknown,Not used,No,,No,,,,No,,,,
1004676,2331,Rapid City Landfill,SD,,5555 S. Hwy 79,Rapid City,Pennington,57701,44.026,-103.198,Yes,Public,"City of Rapid City, SD","City of Rapid City, SD",1960,2033,Open,365,106.6,,75,"4,130,588","3,089,581",2018,"116,191",2018,No,Not used,No,0.714,Yes,0.437,2018,50,Yes,,0.077,2018,"2012-34 wells, system capacity=600 acfm.; 6/17-System installed in 2010, have 54 wells now but adding more soon to get to 90."
1002656,2294,Sioux Falls Regional Sanitary Landfill (SFRSL),SD,Runge Landfill,26750 464th Avenue,Hartford,Minnehaha,57033,43.5005,-96.93,No,Public,"City of Sioux Falls, SD",Sioux Falls Regional Sanitary Landfill,1979,2079,Open,320,110.3,130,130,"31,229,386","10,180,000",2008,"196,489",2018,Yes,Occasionally but not every year,No,4.2,Yes,3.02,2012,49.4,Yes,,1.22,2012,"4/09-GCCS & flare installed prior to project in 2005, 53 wells in place in 2009, will increase to more than 100 wells.; 2012-139 wells, system capacity=2300 acfm."
,2328,Tri-County Landfill,SD,,24978 349th Avenue,Pukwana,Brule,57370,43.7624,-99.2122,No,Public,Tri-County Landfill Association,,1996,2040,Open,,40,80,,"1,400,000","100,000",2003,"14,000",2003,Unknown,Not used,No,,No,,,,No,,,,
1011612,2329,Vermillion Landfill,SD,,31426 Bluff Road,Vermillion,Clay,57069,42.832,-96.976,No,Public,"City of Vermillion, SD",,1976,2076,Open,80,,,50,"3,587,703","894,952",2018,"40,933",2018,No,Not used,No,,No,,,,No,,,,
1002902,2332,Watertown Regional Landfill,SD,,"45605 175th Street
Off Hwy 81, 3 mi S of town",Watertown,Codington,57201,44.8474,-97.0872,No,Public,"City of Watertown, SD","City of Watertown, SD",1994,2058,Open,65,24,75,35,"3,622,974","951,247",2018,"56,876",2018,No,Not used,No,,No,,,,No,,,,
1003147,1326,Alcoa/ Maryville/ Blount County Landfill,TN,"Phases I, II & III",240 Long Powers Road,Friendsville,Blount,37737,35.73606,-84.05903,No,Public,"Blount County, TN; City of Alcoa, TN; City of Maryville, TN","City of Alcoa, TN",1973,2070,Open,,86,,30,"6,335,090","2,783,155",2018,"59,588",2018,No,Not used,No,0.984,Yes,0.523,2012,50.1,Yes,,0.023,2012,"11/10-Put in 35 wells in 2010 & flare in 11/10.; 12/11-30 vert. wells, 5 leachate cleanout taps & 1 passive vent.; 12/11-$3.1 mil to build 31 wells, miles of lateral lines, vacuum equipment, generator & building.; 2012-35 wells, system capacity=1200 acfm."
1005281,1332,Bi-County LF,TN,Clarksville/ Montgomery & Stewart County LF,3212 Dover Road,Woodlawn,Montgomery,37191,36.5387,-87.5448,No,Public,"Bi-County Solid Waste Management Systems, TN","Montgomery County, TN",1975,2026,Open,148,101.2,,180,"7,694,507","5,497,468",2018,"328,245",2018,No,Not used,No,2.98,Yes,1.163,2018,50.5,Yes,,0.292,2018,"10/05-Old cell had active system but now passive due to low LFG flow, 6-8 flares in old cell.; 6/11-New cell: Put in 21 wells (& tied to 2 clean-outs) in 6/10 and flare in 10/10.; 2012-System capacity=1000 acfm, passive vents/flares too.; 7/13-37 wells."
,1335,Bolivar-Hardeman County LF,TN,,75 Landfill Way,Bolivar,Hardeman,38008,35.2869,-89.054,No,Public,"Hardeman County, TN",,1975,2034,Open,,,,,,"390,301",,"20,306",,Unknown,Not used,No,,Yes,,,,Yes,,,,
1003356,1337,Bradley County LF,TN,,282 Natures Trail,McDonald,Bradley,37353,35.157,-84.966,No,Public,"Bradley County, TN","Santek Environmental, Inc.",1972,2040,Open,,86.9,,,"13,513,619","5,426,555",2018,"377,799",2018,Yes,Not used,No,1.73,Yes,,,,Yes,,,,"6/10-Plan to install GCCS soon.; 2012-Passive vents/flares only.; 7/20-40 active wells installed in 2019, passive venting was causing odor issues."
1002649,1452,Carter Valley Landfill,TN,,2825 Carters Valley Road,Church Hill,Hawkins,37642,36.5417,-82.7917,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1982,2098,Open,115,92,120,79,"15,426,923","12,723,765",2005,"136,660",2018,No,Not used,No,3.32,Yes,2.16,2019,44.6,Yes,1,,,"5/04-Upgrading flare and adding more wells.; 9/10-86 wells over 65 acres, 1 candlestick flare.; 2012-80 wells, system capacity=2500 acfm."
1006260,1343,Cedar Ridge LF,TN,,2340 Mooresville Highway,Lewisburg,Marshall,37091,35.46,-86.8375,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1991,2033,Open,,86.6,,,"17,276,365","7,540,644",2018,"471,641",2018,No,Not used,No,2.03,Yes,1.045,2018,40.4,Yes,1,1.045,2018,"2012-65 wells, system capacity=1800 scfm."
1007795,1346,Chestnut Ridge LF,TN,,140 Fleenor Mill Road,Heiskell,Anderson,37754,36.115,-84.038,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1980,2079,Open,,115.7,200,,"37,476,381","19,541,610",2018,"341,832",2018,No,Not used,No,6.62,Yes,2.976,2018,52.5,Yes,2,,,"3/11-170 wells collecting gas.; 2012-161 wells, system capacity=8300 acfm."
1004159,2202,City of Chattanooga Landfill,TN,Birchwood Landfill,9327 Birchwood Pike,Harrison,Hamilton,37341,35.1927,-85.0694,No,Public,"City of Chattanooga, TN",,1995,2038,Open,,51.5,110,90,"4,610,276","2,121,899",2018,"2,987",2018,No,Not used,No,1.12,Yes,0.318,2018,42.3,Yes,,0.318,2018,"5/06-15 wells in place.; 2012-43 wells, system capacity=2100 acfm."
,1350,Cocke County LF,TN,,1160 Old Asheville Highway,Newport,Cocke,37821,35.9559,-83.1502,No,Public,"Cocke County, TN",,1985,,Open,,,,,,"379,459",,"32,318",,Unknown,Not used,No,,No,,,,No,,,,
1004117,1356,Decatur County LF,TN,Decatur County SW Program; Waste Services of Decatur,324 Landfill Lane,Bath Springs,Decatur,38311,35.483,-88.081,No,Public,"Decatur County, TN",Waste Industries,1975,2067,Open,,,,,,"2,710,307",2018,"156,367",2018,No,Occasionally but not every year,No,,No,,,,No,,,,
,1361,Dyersburg City LF,TN,,2250 Sorrels Chapel Road,Dyersburg,Dyer,38024,35.9927,-89.368,No,Public,"City of Dyersburg, TN","City of Dyersburg, TN",1987,2095,Open,,98,,,,"396,621",,"39,000",2005,Unknown,Not used,No,,No,,,,No,,,,5/04-Passive vents.
,1363,Earth Complex,TN,,,Memphis,Shelby,,,,No,Public,"City of Memphis, TN",,,2023,Open,,,,,,0,2009,,,Unknown,Not used,No,,No,,,,No,,,,
1011487,1436,Eco-Safe Landfill,TN,"Sullivan County LF, Incorporated","385 Harr Lane
Hunters Trail (old site)",Blountville,Sullivan,37617,36.56115,-82.35006,No,Private,Advanced Disposal Services,Advanced Disposal Services,1979,2102,Open,94.5,,,,"39,152,915","2,603,815",2018,"292,374",2018,No,Not used,No,,Yes,1.065,2018,53.7,Yes,,1.065,2018,
1003227,1388,Iris Glen Environmental Center,TN,Johnson City Regional LF,1705 E. Main Street,Johnson City,Washington,37601,36.3294,-82.3322,No,Public,"City of Johnson City, TN","Waste Management, Inc.",1994,2038,Open,68,,,,"12,682,321","6,820,267",2018,"184,448",2018,No,Occasionally but not every year,No,,Yes,1.606,2017,45.5,Yes,1,0,,5/03-Flares are solar-powered.
1007711,10580,Jackson-Madison County Landfill,TN,,550 Aaron Long Road,Jackson,Madison,38301,35.59,-88.876414,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1990,2094,Open,,62.8,,,"15,267,375","5,671,612",2018,"217,586",2018,No,Not used,No,3.11,Yes,1.244,2018,50.3,Yes,,1.244,2018,4/16-Installing GCCS in 2016.
,1390,Jefferson County LF,TN,Patterson Landfill,650 Grove Road,Dandridge,Jefferson,37725,36.0587,-83.4089,No,Public,"Jefferson County, TN","Jefferson County, TN",1993,2032,Open,100,,20,,,"1,065,797",,"33,826",2002,Unknown,Not used,No,,No,,,,No,,,,11/07-Plan to install wells in 08 in closing section.
