GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
1007341,1994,Anchorage Regional Landfill,AK,,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,No,Public,"Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987,2043,Open,165,112,300,150,"27,104,639","9,782,936",2018,"350,084",2018,No,Not used,Yes,7.33,Yes,3.726,2017,52.1,Yes,1,,,"4/10-GCCS in operation since Oct. 2006.; 2010-53 wells, system capacity=2000 acfm.; 9/13-36 vertical wells, 21 horizontal wells, and 8 interconnections with leachate system collect from 87 acres, enclosed flare from Parnell Industries."
1010389,11941,Capitol Disposal Landfill,AK,,5600 Tonsgard Court,Juneau,Juneau,99801,58.3528,-134.4947,No,Private,"Waste Management, Inc.",,1965,2040,Open,35,,,38,"1,762,954","894,521",2018,"29,750",2018,No,Not used,No,,Yes,0.738,2018,26.6,Yes,1,0.738,2018,"9/10-16 wells over 13 acres, system installed in 2009, 1 open flare."
1005349,12216,Central Peninsula Landfill (CPL),AK,Soldotna Landfill; Central Peninsula Baling Facility; Soldotna KPB Central Landfill,46915 Sterling Highway,Soldotna,Kenai Peninsula,99669,60.44714,-151.10369,No,Public,"Kenai Peninsula Borough, AK","Kenai Peninsula Borough, AK",1969,2042,Open,,24.8,,,"2,703,698","1,638,604",2018,"41,404",2018,Yes,Several times per year,Yes,0.657,No,,,,No,,,,2010-Passive venting.
1011448,10980,Palmer Central Landfill,AK,Central Landfill - MatSu Borough,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,Matanuska-Susitna,99645,61.59,-149.21,No,Public,"Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, AK",1980,2168,Open,,,,45,"41,974,220","1,864,879",2018,"78,207",2018,No,Not used,Yes,,No,,,,Unknown,,,,
1006806,10961,South Cushman Landfill,AK,Fairbanks North Star Borough S. Cushman Landfill,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,No,Public,"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK",1963,2062,Open,,97.7,,,"10,291,410","4,284,358",2018,"104,771",2018,Yes,At least once per year,Yes,0.858,No,,,,No,,,,"3/11-13 wells installed in 2010, not connected yet, will be low flow.; 2012-Passive vents/flares only."
1001633,23,Advanced Disposal Cedar Hill Landfill,AL,"Harmons SLF MSWLF, Urban Sanitation Corporation SLF",1319 N. Business Creek Road,Ragland,St. Clair,35131,33.68345,-86.25272,No,Private,Advanced Disposal Services,Advanced Disposal Services,1975,2079,Open,,50,,100,"61,657,070","4,957,928",2018,"193,581",2018,Yes,Several times per year,No,1.81,Yes,0.962,2018,47.9,Yes,1,0.327,2018,"9/10-19 vertical & 1 horizontal gas well, system installed ~1998, 1 candlestick flare.; 2012-51 wells, system capacity=1800 acfm."
1006790,7,Advanced Disposal Star Ridge Landfill,AL,Acmar Coal County SLF; Acmar Regional Landfill MSWLF,3301 Acmar Road,Moody,St. Clair,35004,33.60527,-86.51658,No,Private,Advanced Disposal Services,Advanced Disposal Services,1983,2070,Open,308,47.1,,75,"39,537,375","4,822,600",2009,"263,474",2018,Yes,Several times per year,No,2.01,Yes,0.873,2018,47,Yes,1,0.654,2018,"9/10-33 vertical & 3 horizontal wells, system installed in 1999, 1 candlestick flare.; 2010-52 wells, system capacity=1800 acfm."
1001297,10860,Arrowhead Landfill,AL,Perry County Associates Landfill,"On Cahaba Road
Entrance at 626 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,No,Private,"Green Group Holdings, LLC",,2007,2099,Open,425.3,,,,"36,527,758","4,530,903",2018,"56,170",2018,Yes,Several times per year,No,0.3,No,,,,No,,,,
1004245,2005,Black Warrior Solid Waste Facility,AL,,3301 Landfill Drive,Coker,Tuscaloosa,35452,33.24314,-87.66585,No,Public,"Black Warrior Solid Waste Disposal Authority, AL","Black Warrior Solid Waste Disposal Authority, AL",1997,2041,Open,220,80.3,,,"9,826,872","7,022,118",2018,"293,162",2018,No,Not used,No,5.2,Yes,0.771,2018,50.5,Yes,1,0.771,2018,"4/07-Flares assumed to be passive (LFG Specialties indicated in 2004 that flare(s) was in place).; 7/08-Installing GCCS & flare.; 2012-55 wells, system capacity=1400 acfm.; 5/14-Currently flaring 600 scfm at 50% methane."
1004415,2408,Brundidge Landfill,AL,,515 Cleanwater Drive,Brundidge,Pike,36010,31.7041,-85.8299,No,Private,Brundidge Acquisitions,Brundidge Acquisitions,1991,2397,Open,,,,,"23,947,035","885,870",2018,"1,950,000",2011,No,Not used,No,,No,,,,Unknown,,,,
1007813,8,Chastang SLF,AL,City of Mobile SLF MSWLF,17045 Highway 43,Mt. Vernon,Mobile,36560,31.06179,-88.02503,No,Public,"City of Mobile, AL","Waste Management, Inc.",1976,2165,Open,199,102.6,,116,"37,173,934","7,370,771",2018,"195,708",2018,No,Occasionally but not every year,No,3.92,Yes,0.88,2018,30.1,Yes,1,0.88,2018,"9/10-100 wells over 87 acres, system installed in 2000, 1 open flare.; 2010-101 wells, system capacity=3000 scfm."
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,Decatur SLF MSWLF; Morgan County Regional Landfill,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,No,Public,"City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2051,Open,223.4,72,80,60,"11,360,146","5,883,315",2018,"208,608",2018,Yes,Occasionally but not every year,No,,Yes,0.731,2018,55.3,Yes,,,,"10/03-GCCS being installed now, 12 wells initially with an additional 55-60 wells later.; 1/05 - ~80 vertical wells installed.; 12/11-Most recent GCCS expansion in Spring 2011."
1010957,19,City of Dothan SLF MSWLF,AL,,1290 Burkett Road,Dothan,Houston,36303,31.238766,-85.356721,No,Public,"City of Dothan, AL","City of Dothan, AL",1977,2030,Open,49.3,,,,"5,266,741","3,808,866",2018,979,2018,No,Not used,No,,No,,,,No,,,,
1006186,9,Coffee County Sanitary Landfill,AL,,7733 Highway 125,Elba,Coffee,36323,31.507053,-86.000975,No,Public,"Coffee County Commission, AL",Coffee County Sanitary Landfill,1993,2048,Open,450,61.6,,60,"6,765,340","3,751,578",2018,"202,687",2018,No,Not used,No,2.01,Yes,0.945,2018,53.2,Yes,,0.945,2018,"12/06-4 passive candlestick flares; 1/07-Adding 5th passive flare in couple weeks.; 11/10-Active gas collection & destruction began in late 2009.; 2012-39 wells, system capacity=1400 acfm."
1007382,4,Cullman Environmental Waste Management Center,AL,,2805 AL Highway 69 South,Cullman,Cullman,35057,34.02878,-86.90069,No,Private,"Cullman Environmental, Inc.","Cullman Environmental, Inc.",1993,2040,Open,,29,,60,"2,937,045","1,783,278",2018,"95,269",2018,Yes,Several times per year,No,0.603,No,,,,No,,,,
1007018,15,Eastern Area Landfill,AL,,2787 Alton Drive,Birmingham,Jefferson,35210,33.5978,-86.6288,No,Public,"City of Birmingham, AL","City of Birmingham, AL",1974,2026,Open,72,48,,,"4,469,515","4,394,023",2018,254,2018,No,Not used,No,1.83,No,,,,No,,,,
1005839,11,Huntsville MSWLF,AL,,4100 Leeman Ferry Road SW,Huntsville,Madison,35804,34.6885,-86.592,No,Public,City of Huntsville S.W. Disposal Authority,City of Huntsville S.W. Disposal Authority,1946,2060,Open,215,191,40,,,"11,550,037",2018,"349,344",2018,No,Not used,No,2.09,No,,,,No,,,,2010-Passive venting only now.
1004014,25,Jefferson County LF No. 1,AL,Mt. Olive SLF MSWLF,101 Barber Boulevard,Gardendale,Jefferson,35071,33.711,-86.873,No,Public,"Jefferson County, AL","Santek Environmental, Inc.",1969,2063,Open,,70.4,,,"19,214,367","4,747,002",2018,"326,919",2018,No,Not used,No,1.6,No,,,,No,,,,
1005680,13,Jefferson County LF No. 2,AL,Turkey Creek SLF MSWLF,7035 Narrows Road,Pinson,Jefferson,35126,33.7077,-86.7104,No,Public,"Jefferson County, AL","Santek Environmental, Inc.",1982,2098,Open,,65.9,,,"3,483,997","1,665,313",2018,1,2018,No,Not used,No,1.1,No,,,,No,,,,
1007875,20,Magnolia Subtitle D MSW LF,AL,,15140 County Road 49,Summerdale,Baldwin,36580,30.45727,-87.7761,No,Public,"Baldwin County, AL","Baldwin County, AL",1997,2036,Open,96,47.9,,10,"6,408,237","3,928,710",2018,"244,732",2018,No,Not used,No,2.68,Yes,0.628,2018,53.5,Yes,,0.628,2018,"12/07-7 wells in, 1 flare going in Spring 08.; 2012-23 wells, system capacity=1200 acfm."
1002464,2011,Morris Farm Landfill,AL,"Lawrence County Disposal, Inc.",4 County Road 418,Hillsboro,Lawrence,35643,34.70381,-87.22116,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1997,2068,Open,,55,,,"16,643,163","6,061,121",2018,"306,866",2018,No,Not used,No,2.38,Yes,1.339,2018,46.9,Yes,,1.339,2018,"2012-40 wells, system capacity=2500 acfm."
1006028,14,New Georgia MSWLF,AL,Birmingham SLF,2800 47th Avenue North,Birmingham,Jefferson,35207,33.585,-86.815,No,Public,"City of Birmingham, AL","City of Birmingham, AL",1970,2030,Open,,149,60,,"9,644,756","7,627,582",2018,"151,399",2018,No,Not used,No,,Yes,1.3,,50,Yes,1,1.3,,"3/10-90 wells installed in 1990, 10 wells added in 2003, 100% coverage of LF."
1006957,18,North Montgomery SLF MSWLF,AL,,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,No,Public,"City of Montgomery, AL","City of Montgomery, AL",1969,2040,Open,348,48.7,,,,"10,727,408",2018,"168,999",2018,No,Not used,No,2.47,Yes,0.447,2018,53.4,Yes,1,0.447,2018,"4/05-Flare is used 1-2 days/month on average for pressure regulation and when the end user is not running.; 10/11-Total of 64 wells installed as of 2008.; 2012-79 wells, system capacity=1500 acfm."
1002646,22,Pine View SLF MSWLF,AL,"Walker County Disposal, Inc.",2730 Bryan Road,Dora,Walker,35062,33.71458,-87.04981,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1993,2024,Open,166,87.2,,75,"20,503,116","10,376,275",2018,"306,661",2018,Yes,Several times per year,No,4.78,Yes,1.828,2018,53.1,Yes,1,1.828,2018,"5/03-Plan to install collection system in 2003.; 12/08-43 extraction wells, 3 condensate sumps, & a utility flare.; 9/10-81 wells over 70 acres, 1 candlestick flare.; 2012-84 wells, system capacity=4000 acfm."
1003265,17,Salem Landfill,AL,"Opelika Sanitary LF; Salem Waste Disposal, Inc. MSWLF",4210 Lee Road 183,Opelika,Lee,36804,32.65347,-85.2636,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1985,2115,Open,222,107,,,"35,878,843","11,853,473",2018,"268,778",2018,No,Not used,No,4.93,Yes,2.179,2018,49,Yes,1,2.179,2018,"2012-81 wells, system capacity=2500 scfm."
1006304,2410,Sand Valley Landfill,AL,"Lebanon Landfill; GEK, Inc.",3345 County Road 209,Collinsville,DeKalb,35961,34.342,-85.862,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1997,2069,Open,318.9,83,,,"28,041,435","8,821,680",2018,"449,785",2018,No,Not used,No,3.87,Yes,2.482,2018,54.3,Yes,1,,,"12/08-33 extraction wells, 1 condensate sump, and a utility flare.; 2012-71 wells, system capacity=4000 acfm.; 1/14-Zink candlestick flare was installed in 2003."
1007082,5,Shelby County Highway 70 Landfill,AL,(Sheala) SLF,"4154 Highway 70
401 Landfill Road",Columbiana,Shelby,35051,33.171785,-86.687566,No,Public,"Shelby County, AL","Shelby County, AL",1997,2055,Open,89.5,35.5,60,50,"4,520,250","3,209,043",2018,"186,434",2018,No,Not used,No,1.04,Yes,0.598,2018,50.6,Yes,,0.598,2018,
,32,Shoals Solid Waste Disposal Authority (SSWDA) LF,AL,Colbert County SLF,2015 Missouri Street Highway 43 S,Tuscumbia,Colbert,35674,34.694,-87.6609,No,Public,"Shoals Solid Waste Disposal Authority, AL","Colbert County Commission, AL",1967,2020,Open,130,60,125,100,"5,300,000","3,200,000",2009,"200,000",2009,Unknown,Not used,No,,Yes,,,20,Yes,,0.32,,"8/10-Collection system for 1/3 of site online 6/10.; 11/10-74 wells installed but shut down 20 of them due to leaks in system, plan to add more wells in 2011."
1006183,11581,"Stones Throw Landfill, LLC",AL,Tallassee Waste Disposal Center; Sunflower Landfill Inc.,1303 Washington Boulevard,Tallassee,Tallapoosa,36078,32.5154,-85.8311,No,Private,Advanced Disposal Services,,1982,2049,Open,,45.3,,,"26,921,459","5,973,227",2018,"485,395",2018,No,Not used,No,2.02,Yes,1.669,2018,50.2,Yes,,1.669,2018,"9/09-GCCS under construction, expected to be operational by 1/31/10.; 1/11-LFG system was completed during summer 2010.; 2012-31 wells, system capacity=2000 acfm."
1007796,2204,Three Corners Landfill,AL,,2205 County Road 6,Piedmont,Cherokee,36272,33.9962,-85.7254,No,Private,Advanced Disposal Services,"Alabama Waste Disposal Solutions, LLC",1998,2142,Open,,67,,,"39,848,970","4,549,543",2018,"142,208",2018,Yes,Several times per year,No,2.07,Yes,0.543,2018,41.1,Yes,,0.543,2018,"2012-38 wells, system capacity=3000 scfm."
1007274,21,Timberlands Landfill,AL,Escambia County Environmental Corporation; Escambia SLF,22800 Highway 41,Brewton,Escambia,36426,31.2593,-87.1923,No,Private,Escambia County Environmental Corp.,"Republic Services, Inc.",1993,2056,Open,,105.6,,,"22,340,335","13,687,592",2018,"230,234",2018,Yes,Occasionally but not every year,No,6.27,Yes,2.378,2018,52.1,Yes,,2.378,2018,"2012-95 wells, system capacity=4000 acfm."
1011271,11982,"Turkey Trot Landfill, LLC",AL,,2328 Mannish Ryan Road,Citronelle,Washington,36522,31.15848,-88.19,No,Private,Advanced Disposal Services,Advanced Disposal Services,2010,2142,Open,300,,,,"23,280,092","1,648,888",2018,"180,186",2018,No,Occasionally but not every year,No,,Yes,0.362,2018,37.3,Yes,,0.362,2018,
,2009,Willow Ridge Landfill,AL,Haleyville Regional Landfill,10512 Highway 13,Haleyville,Winston,35565,34.17569,-87.60779,No,Public,Haleyville Solid Waste Disposal Authority,"Republic Services, Inc.",1983,2050,Open,265,,,,,,,"47,190",,Unknown,Not used,No,,No,,,,No,,,,
,11542,Ashley County Landfill,AR,,309 Ashley 438 Road,Hamburg,Ashley,71646,33.212,-91.84759,No,Public,"Ashley County, AR",,,,Open,20,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1005318,11544,City of Conway Landfill,AR,,4550 Highway 64 West,Conway,Faulkner,72032,35.1119,-92.5068,No,Public,"City of Conway, AR",,1991,2060,Open,125,66,,,"8,301,177","3,077,528",2018,"58,934",2018,No,Not used,No,1.33,No,,,,No,,,,
,11547,City of Helena - West Helena Regional LF,AR,,1448 B Phillips Highway 217,West Helena,Phillips,72390,34.56726,-90.629,No,Public,"City of Helena - West Helena, AR",,,,Open,37,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
,11541,City of Hope Landfill,AR,,3759 Highway 67 West,Hope,Hempstead,71801,33.6422,-93.6781,No,Public,"City of Hope, AR",,,,Open,82.5,,,,"1,110,000",,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1011631,11546,City of Morrilton Landfill,AR,,51 Dump Road,Morrilton,Conway,72110,35.1297,-92.6976,No,Public,"City of Morrilton, AR",,1994,2050,Open,30,,,,"1,367,651","780,451",2018,"49,087",2018,No,Several times per year,No,,No,,,,Unknown,,,,
1005397,2291,Craighead County Solid Waste Disposal Authority LF,AR,Legacy Landfill,238 County Road 476,Jonesboro,Craighead,72404,35.719434,-90.68862,No,Public,Craighead County Solid Waste Disposal Authority,Craighead County Solid Waste Disposal Authority,1991,2030,Open,310,60.9,,100,"4,050,450","2,255,217",2018,"93,563",2018,Yes,Several times per year,No,1.08,Yes,0.031,2018,48.5,Yes,,0.031,2018,
1002732,10500,Crittenden County Sanitary Landfill,AR,,1299 Kuhn Road,West Memphis,Crittenden,72301,35.13597,-90.25606,No,Public,"Crittenden County, AR","Santek Environmental, Inc.",1989,2023,Open,,52,,,"2,638,649","2,104,202",2018,"70,403",2018,No,Not used,No,0.83,No,,,,No,,,,
1003406,2282,Eco-Vista Landfill,AR,Tontitown Landfill,2210 Waste Management Drive,Springdale,Washington,72762,36.140147,-94.256073,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1980,2023,Open,147,124.9,,120,"14,781,980","8,917,277",2018,"545,866",2018,No,Not used,No,2.7,Yes,2.181,2018,53.3,Yes,2,0,2018,"4/07-Flare was lit October 2001.; 2012-140 wells, system capacity=6150 acfm."
,11441,EMS Class 1 Landfill,AR,,203 Possum Waller Road,DeWitt,Arkansas,72042,34.311,-91.272,No,Private,Eaton-Moery Environmental Services,,,,Open,30.5,,,,,,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1006026,2052,Fort Smith SLF,AR,,5900 Commerce Road,Fort Smith,Sebastian,72916,35.2926,-94.3704,No,Public,"City of Fort Smith Department of Sanitation, AR","City of Fort Smith Department of Sanitation, AR",1981,2060,Open,555,148.2,160,80,"47,823,137","9,783,990",2018,"243,188",2018,No,Not used,No,,Yes,4.325,2018,58.7,Yes,1,0,,"8/07-GCCS consists of 70 vertical wells, 13 horizontal wells, & 63,000 linear feet of collection pipe, system is installed on an 80-acre closed landfill and an adjacent 550-acre operating landfill.; 2012-146 wells, system capacity=3000 acfm."
1002222,11550,IESI Cherokee Village Landfill,AR,Cherokee Sanitary Landfill,100 Landfill Road,Cherokee Village,Fulton,72529,36.28126,-91.63128,No,Private,"Waste Connections, Inc.","Waste Connections, Inc.",1975,2043,Open,90,31.1,,,"6,490,730","2,523,691",2018,"163,777",2018,No,Not used,No,0.942,No,,,,No,,,,
,11442,Jackson County Landfill,AR,,2069 Jackson CR-265,Amagon,Jackson,72005,35.5894,-91.0922,No,Public,"Jackson County, AR",,,,Open,27,,,,"841,045",,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1003615,2283,Jefferson County Landfill,AR,,6000 Gravel Pit Road,White Hall,Jefferson,71602,34.34676,-92.19214,No,Private,"Waste Management, Inc.",,1992,2039,Open,66,45.1,,100,"5,845,066","3,496,017",2018,"115,950",2018,Yes,Occasionally but not every year,No,1.5,Yes,0.837,2018,52.5,Yes,1,0.837,2018,"2012-14 wells, system capacity=2000 acfm."
1004543,2093,Little Rock City SW Landfill,AR,City of Little Rock Landfill,10803 Ironton Cut Off Road,Little Rock,Pulaski,72206,34.65129,-92.30241,Yes,Public,"City of Little Rock, AR","City of Little Rock, AR",1976,2073,Open,110,49.6,240,100,"7,751,457","3,474,826",2018,"123,814",2018,Yes,Several times per year,No,1.52,Yes,0.533,2018,37.5,Yes,,0.533,2018,"8/03-One small (vent) flare at each of the 4 pump houses to prevent explosive gases.; 9/07-New 3rd flare under construction along with GCCS, vent flares will be shut down.; 2012-16 wells, system capacity=1200 acfm."
1005319,11280,Northeast AR RSWMD Landfill Phases 2 & 3,AR,,1810 Greene 890 Road,Paragould,Greene,72450,36.085,-90.4539,No,Public,Northeast AR RSWMD,,1979,2034,Open,,207.4,,,"3,922,190","2,692,206",2018,"78,381",2018,No,Not used,No,1.02,No,,,,No,,,,4/09-System to be in place in 2010.
1007681,2284,Ozark Ridge Landfill,AR,Yell County Landfill,"10140 Ozark Ridge Access Lane
County Road 47 (South New Hope Road) and Hwy 7",Danville,Yell,72833,35.09,-93.2079,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1986,2052,Open,66,46.2,,80,"6,189,391","3,048,174",2018,"97,858",2018,Yes,Several times per year,No,1.21,Yes,0.36,2018,50.5,Yes,1,0.36,2018,"2012-18 wells, system capacity=2000 acfm."
1004544,11545,"Rolling Meadows Landfill, Inc.",AR,,1420 Hamric Road,Hazen,Prairie,72064,34.8476,-91.59002,No,Private,WCA Waste Corporation,,1991,2096,Open,105,40,80,40,"26,993,821","3,664,046",2018,"97,704",2018,Yes,Several times per year,No,1.67,No,,,,No,,,,
1006513,11548,Saline County RWMD LF,AR,Benton LF,18511 W. Sardis Road,Bauxite,Saline,72011,34.5606,-92.4818,No,Private,"Republic Services, Inc.",,1992,2042,Open,,51.5,,,"8,075,586","4,141,297",2018,"192,089",2018,No,Not used,No,1.41,Yes,0.127,2018,44.6,Yes,1,0.127,2018,2012-Passive vents/flares only.
1007896,2043,Two Pine Landfill,AR,Phase 1 and Phase 2,100 Two Pine Drive,North Little Rock,Pulaski,72117,34.8371,-92.1497,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1981,2059,Open,145,85,,93,"32,562,361","13,215,330",2018,"470,087",2018,No,Several times per year,No,,Yes,2.234,2018,51.6,Yes,1,,,"5/05-GCCS installed over ~2/3 of site.; 9/10-84 wells over 60 acres, system installed in 1996, 1 open flare.; 2014-117 wells, system capacity=4400 scfm."
1004479,2401,Union County Recycling & Disposal Facility,AR,,3083 Smackover Highway,El Dorado,Union,71730,33.32,-92.6855,No,Private,WCA Waste Corporation,WCA Waste Corporation,1988,2050,Open,69,22.8,,85,"4,320,698","3,225,011",2018,"149,143",2018,Yes,Occasionally but not every year,No,1.38,Yes,0.562,2018,41.8,Yes,1,0.562,2018,"2010-35 wells, system capacity=1100 acfm.; 1/14-Expansion June 2012 - totals wells 40 / 5 risers."
1005440,11549,Upper Southwest RSWMD,AR,,319 Landfill Road,Nashville,Howard,71852,34.075,-93.868,No,Public,Upper SW Arkansas RSWMD,,1994,2022,Open,32,30.2,,,,"1,699,057",2018,"79,405",2018,No,Not used,No,0.767,No,,,,No,,,,
,20766,Apache County Regional Landfill - Blue Hills,AZ,Blue Hills Regional Landfill; St. Johns MSWLF,"Highway 191
3 mi NE of St. Johns",St. Johns,Apache,85936,34.529,-109.312,No,Public,"Apache County, AZ",Blue Hills Environmental Association,1990,,Open,,,,,,,,"44,365",2014,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1004003,1773,Apache Junction LF,AZ,Tomahawk; Pinal County,4050 South Tomahawk Road,Apache Junction,Pinal,85219,33.37893,-111.52877,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1972,2035,Open,,102,,,"11,001,883","8,954,724",2018,"383,656",2018,Yes,Several times per year,No,1.6,Yes,0.721,2018,47,Yes,,0.721,2018,"2012-19 wells, system capacity=350 acfm."
1007815,1783,Butterfield Station Landfill,AZ,,40404 S. 99th Avenue,Mobile,Maricopa,85139,33.08,-112.2757,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1990,2052,Open,640,203,190,,"96,088,410","38,156,494",2018,"1,389,171",2018,No,Not used,No,8.93,Yes,0.778,2018,42.9,Yes,2,0.778,2018,"2012-37 wells, system capacity=1600 scfm."
1006201,12210,Cactus Landfill,AZ,,22481 East Deep Well Ranch Road,Florence,Pinal,85132,32.7679,-111.3223,No,Private,"Republic Services, Inc.",,2004,2399,Open,,41.4,,,"168,028,763","4,172,801",2018,"380,425",2018,Yes,Several times per year,No,0.818,No,,,,No,,,,
1004132,1782,Cinder Lake MSW LF,AZ,,6770 E. Cinder Lake Landfill Road,Flagstaff,Coconino,86004,35.307,-111.517,No,Public,"City of Flagstaff, AZ","City of Flagstaff, AZ",1965,2054,Open,247,110,,50,"15,126,817","5,474,490",2018,"110,985",2018,No,Not used,No,1.09,No,,,,No,,,,
1003683,1787,City of Glendale Municipal Landfill,AZ,,11480 W Glendale Avenue,Glendale,Maricopa,85307,33.5364,-112.3065,No,Public,"City of Glendale, AZ","City of Glendale, AZ",1973,2069,Open,260,141.6,,,"33,670,772","10,737,184",2018,"361,689",2018,No,Not used,No,2.18,Yes,1.507,2018,47,Yes,,,,"2012-79 wells, system capacity=2100 acfm."
,20767,Cochise County Western Regional Landfill,AZ,,2595 N. Sagebrush Road,Huachuca City,Cochise,85616,31.718,-110.288,No,Public,"Cochise County, AZ","Cochise County, AZ",2001,,Open,,,,,"4,739,984",,,"68,812",2014,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1007963,2414,Copper Mountain Landfill,AZ,Copper State Recycling,34853 East County 12th Street,Wellton,Yuma,85356,32.649,-114.05565,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1995,2313,Open,,66.3,,,"19,878,402","6,305,886",2018,"285,629",2018,Yes,Several times per year,No,1.4,No,,,,No,,,,
,2390,Dudleyville Landfill,AZ,,8195 North Highway 177,Winkelman,Pinal,85292,32.9997,-110.7879,No,Public,Pinal County,"Waste Management, Inc.",,,Open,,,,,,"8,902",2001,,,Unknown,Not used,No,,No,,,,Unknown,,,,
,20753,Durham Regional Landfill,AZ,RAD Landfill; Right Away Disposal Landfill,"22316 S. Harmon Road
6 miles north and 3 miles east of the I-10 Red Rock Interchange (Exit 226)",Florence,Pinal,85132,32.68,-111.291,No,Private,"Durham Regional Landfill, LLC",Right Away Disposal,2016,,Open,184,,,,"28,569,100",,,,,Unknown,Not used,No,,Unknown,,,,Unknown,,,,
1007862,2194,Gray Wolf Regional Landfill,AZ,Grey Wolf Landfill,23355 East Highway 169,Dewey,Yavapai,86327,34.5167,-112.0483,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1993,2177,Open,,67.2,,,"26,435,399","4,105,943",2018,"126,228",2018,No,Not used,No,0.893,No,,,,No,,,,
,1785,Huachuca City Landfill,AZ,,600 Skyline Drive,Huachuca,Cochise,85616,31.637,-110.329,No,Public,"City of Huachuca, AZ","City of Huachuca, AZ",,,Open,66,,,,"1,644,682","1,200,000",1998,"26,725",2014,Unknown,Not used,No,,No,,,,No,,,,
1004056,2411,La Paz County Landfill,AZ,,"26999 Highway 95
Mile Post 128",Parker,La Paz,85344,33.951822,-114.216539,No,Public,County of La Paz,"Republic Services, Inc.",1990,2023,Open,,29,,,"19,878,402","3,332,768",2018,"232,544",2018,Yes,Several times per year,No,0.62,No,,,,No,,,,
1004093,2412,Lake Havasu Landfill,AZ,,3251 East Chenoweth Drive,Lake Havasu City,Mohave,86404,34.5463,-114.339,No,Public,City of Lake Havasu,"Republic Services, Inc.",1971,2030,Open,,,,,"2,646,000","2,007,371",2017,"90,627",2018,No,Not used,No,,No,,,,Unknown,,,,
1002799,1770,Los Reales Landfill,AZ,,5300 E. Los Reales Road,Tucson,Pima,85756,32.1192,-110.88,No,Public,"City of Tucson, AZ","City of Tucson, AZ",1967,2089,Open,423,222.6,115,,"26,163,223","21,897,213",2018,"839,555",2018,Yes,Several times per year,No,4.03,Yes,1.886,2018,44,Yes,,,,"6/00-LFG actively collected from over 70 wells.; 2012-42 wells, system capacity=2690 acfm."
1013218,21213,Marana Regional Landfill,AZ,,14508 West Avra Valley Road,Marana,Pima,85653,32.410302,-111.283295,No,Private,"Waste Management, Inc.",,2013,2330,Open,,,,,"107,016,081","1,731,274",2018,"374,473",2018,No,Not used,No,,No,,,,No,,,,
1004980,2413,Mohave Valley Landfill,AZ,Bullhead,3999 El Rodeo Road,Mohave Valley,Mohave,86426,35.0135,-114.567,No,Public,County of Mohave,"Republic Services, Inc.",1990,2024,Open,,,,,"7,501,284","1,565,328",2018,"82,863",2018,No,Not used,No,,No,,,,Unknown,,,,
